task,answer
"Найти скалярное произведение векторов \textbf{a} и \textbf{b}, если: $ |\textbf{a}| =6,~ |\textbf{b}| = 7, \angle(\textbf{a},\textbf{b}) = 120^{\circ}.$ Ответ сократи (используя правила математического округления) до трех знаков после точки",[-21.000]
Найти $ \displaystyle \lim_{x \rightarrow 0} (\cos x/\cos(2x))^{1/x^2}.$ Ответ сократи (используя правила математического округления) до трех знаков после точки,[4.482]
Найти $ \displaystyle \lim_{x \rightarrow +\infty} x(\ln(1+x/2)-\ln(x/2)).$Ответ сократи (используя правила математического округления) до трех знаков после точки,[2.000]
"Два радиста пытаются принять сигнал передатчика. Первый из них сможет это сделать с вероятностью 60$\%$, а второй – с вероятностью 80$\%$, независимо друг от друга. Найти вероятность, что хотя бы одному из них удастся принять сигнал. Ответ сократи (используя правила математического округления) до двух знаков после точки",[0.92]
Найти столбец $ \textbf{x} $ из уравнения $ \begin{pmatrix} -1 \\ 6 \end{pmatrix} + \begin{pmatrix} 3 \\ 2 \end{pmatrix} - 2\textbf{x} = \begin{pmatrix} 2 \\ -2 \end{pmatrix}.$,[0;5]
Вычислить произведение матриц $ \begin{pmatrix} 0 & 1 & 0 & 0 \end{pmatrix} \cdot \begin{pmatrix} 1 & 4 & 3 \\ 0 & 3 & 2 \\ 0 & 1 & 0 \\ 0 & 2 & 1 \end{pmatrix}.$ \\Ответ в формате $ a_{11}; a_{12}; \dots; a_{1n}; a_{21}; a_{22}; \dots; a_{mn}.$,[0;3;2]
"Вычисли $ \displaystyle \int_{0}^{1} x/(x^2+x+1) \, dx.$ Ответ сократи (используя правила математического округления) до трех знаков после точки",[0.247]
"Партия из 100 деталей подвергается выборочному контролю. Условием непригодности всей партии является наличие хотя бы одной бракованной детали среди пяти проверенных. Какова вероятность для данной партии быть принятой, если она содержит 5$\%$ неисправных деталей. Ответ сократи (используя правила математического округления) до двух знаков после точки",[0.77]
"Два стрелка независимо друг от друга стреляют по одной мишени, делая по одному выстрелу. Вероятность попадания в мишень для первого стрелка составляет 70$\%$, а для второго 60$\%$. После стрельбы в мишени обнаружена одна пробоина. Найти вероятность, что попал первый стрелок. Ответ представь в виде несокращаемой простой дроби",[14/23]
Найти $ \displaystyle \lim_{x \rightarrow \infty} (\sqrt{x^2-1}-\sqrt{x^2+1}).$Ответ сократи (используя правила математического округления) до трех знаков после точки,[0.000]
"Вычисли $ \displaystyle \int_{0}^{2} |1-x| \, dx.$ Ответ сократи (используя правила математического округления) до трех знаков после точки",[1.000]
"В город поступило 3000л молока с первого завода и 3500 – со второго завода. Известно, что средний процент непригодного молока среди продукции первого завода равен 1,5$\%$, второго – 1$\%$. Найти вероятность того, что купленный литр молока в этом городе окажется непригодным.  Ответ сократи (используя правила математического округления) до трех знаков после точки",[0.012]
"За прямоугольный стол, у которого стоит по 4 стула слева и справа, в случайном порядке садятся 4 мальчика и 4 девочки. Какова вероятность того, что все мальчики окажутся с одной стороны? Ответ представь в виде несокращаемой простой дроби",[1/35]
"Вычисли площадь области, состоящей из пересечения множеств: $ y \leq 5x-x^2, ~y\geq x.$ Ответ представь в виде несокращаемой простой дроби",[32/3]
"Кубик бросается 5 раз. Найти вероятность, что шестерка выпадет 2 раза. Ответ представь в виде несокращаемой простой дроби",[625/3888]
"В ящике 4 белых и 5 черных шаров. Наугад вынимаются 3 шара. Найти вероятность, что они окажутся одинакового цвета. Ответ представь в виде несокращаемой простой дроби",[1/6]
"Вычисли $ \displaystyle \int_{1}^{2} 2x^2 \, dx.$ Ответ представь в виде несокращаемой простой дроби",[14/3]
"Наугад взяты два положительных числа, каждое из которых не больше 3. Какова вероятность того, что их сумма не превзойдет 3, а произведение будет не больше 14/9? Ответ сократи (используя правила математического округления) до четырех знаков после точки",[0.4387]
"Найти площадь фигуры, ограниченной кривыми, заданными в прямоугольных координатах (все параметры считать положительными): $ y = 2x-x^2,~ x+y=0.$ Ответ представь в виде несокращаемой простой дроби",[9/2]
"Вычисли $ \displaystyle \int_{1/e}^{e} |\ln x| \, dx.$ Ответ сократи (используя правила математического округления) до трех знаков после точки",[1.264]
Найти ранг матрицы $ \begin{pmatrix} 1 & -1 \\ 2 & -2 \end{pmatrix}.$,[1]
Найти $ \displaystyle \lim_{x \rightarrow 3} (\sin x/ \sin 3)^{1/(x-3)}.$ Ответ сократи (используя правила математического округления) до целого числа,[0]
"Студент знает ответы на 25 экзаменационных вопросов из 60-ти. Какова вероятность сдать экзамен, если для этого необходимо ответить не менее чем на 2 из 3-х вопросов? Ответ представь в виде несокращаемой простой дроби",[640/1711]
"Найти площадь поверхности, образованной вращением следующей кривой: $ y = \operatorname{tg}x ~ (0\leq x \leq \pi/4) $ вокруг оси $ Ox.$ Ответ сократи (используя правила математического округления) до трех знаков после точки",[3.839]
"Вычисли $ \displaystyle \int_{1/\sqrt{3}}^{\sqrt{3}} 1/(1+x^2) \, dx.$ Ответ сократи (используя правила математического округления) до трех знаков после точки",[0.524]
"Вычисли $ \displaystyle \int_{1}^{4} x/\sqrt{2+4x} \, dx.$ Ответ сократи (используя правила математического округления) до трех знаков после точки",[2.121]
"Найти площадь фигуры, ограниченной кривыми, заданными в прямоугольных координатах (все параметры считать положительными): $ y = (x+1)^2~, x = sin(\pi y),~ y = 0 ~(0 \leq y \leq 1).$ Ответ сократи (используя правила математического округления) до целого числа",[1]
"Вычисли $ \displaystyle \int_{0}^{\ln 2} xe^{-x} \, dx.$ Ответ сократи (используя правила математического округления) до трех знаков после точки",[0.153]
Найти ранг матрицы $ \begin{pmatrix} 1 & 1 & 1 \\ 2 & 2 & 3 \\ 3 & 3 & 4 \end{pmatrix}.$,[2]
Вычислить собственные значения матрицы $ \begin{pmatrix} 0 & 0 & 0\\ 0 & -1 & 1 \\ 0 & 0 & -1 \end{pmatrix}.$,[0;-1;-1]
Найти $ \displaystyle \lim_{x \rightarrow 0} \sin^2(3x)/(\sqrt{1-3x^2}-1).$Ответ сократи (используя правила математического округления) до трех знаков после точки,[-6.000]
Найти $ \displaystyle \lim_{n \rightarrow \infty} \sqrt{n^2+n}-\sqrt{n^2-n}.$Ответ сократи (используя правила математического округления) до трех знаков после точки,[1.000]
